id,x_m,y_m,z_m,gravity_mgal
GV-00001,37.69,36.6,-798.5,0.4104
GV-00002,63.4,8.88,-804.34,0.1262
GV-00003,114.07,10.43,-801.37,-0.0251
GV-00004,190.09,39.27,-798.09,-0.2355
GV-00005,220.39,32.1,-801.16,-0.3315
GV-00006,286.78,36.39,-803.55,-0.7647
GV-00007,330.99,20.11,-799.49,-0.8638
GV-00008,394.21,6.16,-800.18,-1.0505
GV-00009,413.92,13.67,-798.27,-1.184
GV-00010,461.02,10.18,-803.3,-1.5771
GV-00011,529.95,12.13,-795.91,-1.6426
GV-00012,581.41,32.72,-802.59,-1.8939
GV-00013,615.65,24.04,-800.68,-2.1738
GV-00014,671.88,17.6,-800.58,-2.0795
GV-00015,726.44,27.44,-804.86,-2.3743
GV-00016,766.36,25.51,-800.03,-2.7036
GV-00017,824.5,27.21,-801.33,-2.6147
GV-00018,881.15,43.29,-803.9,-2.8375
GV-00019,934.13,34.63,-804.57,-3.2631
GV-00020,983.76,8.85,-799.95,-3.1868
GV-00021,1013.24,30.98,-796.08,-3.3124
GV-00022,1059.14,17.1,-801.72,-3.5534
GV-00023,1126.86,31.17,-800.91,-3.6773
GV-00024,1159.3,8.58,-799.47,-3.9084
GV-00025,1206.97,5.16,-803.06,-3.9201
GV-00026,1282.04,5.68,-800.93,-4.3059
GV-00027,1314.52,40.05,-795.46,-4.3201
GV-00028,1368.98,14.66,-804.31,-4.6113
GV-00029,1433.52,16.54,-800.64,-4.5748
GV-00030,1487.95,42.49,-745.45,-4.8664
GV-00031,1542.88,14.67,-749.67,-4.9705
GV-00032,1571.4,9.44,-752.89,-4.9852
GV-00033,1635.53,32.2,-745.81,-5.1653
GV-00034,1685.39,26.48,-745.23,-5.2318
GV-00035,1720.73,5.7,-752.26,-5.4981
GV-00036,1783.49,41.54,-753.95,-5.4325
GV-00037,1823.96,38.5,-749.16,-5.7259
GV-00038,1891.29,43.87,-752.27,-5.8099
GV-00039,1916.71,34.37,-752.62,-5.8618
GV-00040,1969.35,20.77,-746.12,-5.7355
GV-00041,2019.59,30.16,-751.29,-5.9947
GV-00042,2074.97,23.77,-752.24,-6.0608
GV-00043,2120.78,19.2,-752.92,-6.1984
GV-00044,2171.91,37.37,-751.62,-6.3528
GV-00045,2222.09,44.43,-752.14,-6.3185
GV-00046,2258.01,32.26,-751.28,-6.4189
GV-00047,2329.39,33.27,-749.41,-6.6013
GV-00048,2367.84,32.75,-748.65,-6.7521
GV-00049,2421.6,40.67,-748.44,-6.5413
GV-00050,2484.91,18.62,-746.61,-6.6724
GV-00051,2539.47,24.73,-745.48,-6.9322
GV-00052,2575.53,20.19,-753.33,-6.9816
GV-00053,2610.71,34.85,-754.61,-6.7827
GV-00054,2669.02,24.39,-747.38,-7.0796
GV-00055,2711.62,15.75,-751.99,-7.1616
GV-00056,2794.18,28.06,-752.15,-7.2795
GV-00057,2812.31,23.04,-753.0,-7.3299
GV-00058,2883.32,38.55,-749.65,-7.2653
GV-00059,2918.8,14.12,-749.75,-7.2692
GV-00060,2967.09,8.0,-753.2,-7.372
GV-00061,3025.33,11.49,-749.13,-7.4874
GV-00062,3072.48,26.93,-748.6,-7.4556
GV-00063,3119.85,29.67,-745.66,-7.5613
