# crs: EPSG:2193
# origin_xy_absolute_m: 1326498.166, 5157450.239
id,x_m,y_m,z_m,gravity_mgal
GV-00001,35.85,26.77,-1511.48,-1.371
GV-00002,64.33,24.61,-1516.49,-1.2243
GV-00003,132.41,24.43,-1517.66,-1.5091
GV-00004,172.83,18.55,-1511.45,-1.2808
GV-00005,236.5,34.06,-1517.65,-1.4655
GV-00006,267.78,44.37,-1514.73,-1.7039
GV-00007,315.41,19.34,-1510.84,-1.5236
GV-00008,377.06,12.89,-1509.5,-1.889
GV-00009,421.99,31.89,-1517.8,-1.9542
GV-00010,470.81,27.04,-1516.9,-2.1507
GV-00011,508.86,17.14,-1506.92,-2.1549
GV-00012,580.2,37.31,-1510.84,-2.1419
GV-00013,622.78,22.74,-1511.71,-2.3828
GV-00014,659.91,39.48,-1511.34,-2.6009
GV-00015,720.44,34.7,-1514.22,-2.6054
GV-00016,761.61,33.8,-1512.64,-2.5205
GV-00017,827.13,9.18,-1508.13,-2.7181
GV-00018,890.6,25.59,-1512.58,-2.9044
GV-00019,937.54,15.63,-1512.84,-2.8861
GV-00020,962.89,6.14,-1506.72,-3.0022
GV-00021,1020.99,33.89,-1512.56,-3.0013
GV-00022,1086.46,20.09,-1506.55,-3.2855
GV-00023,1126.33,15.63,-1508.13,-3.4265
GV-00024,1187.12,27.78,-1510.05,-3.3665
GV-00025,1208.98,20.45,-1510.43,-3.4484
GV-00026,1287.0,12.29,-1503.67,-3.4578
GV-00027,1312.99,29.82,-1503.57,-3.6754
GV-00028,1387.93,8.25,-1508.16,-3.7665
GV-00029,1428.22,12.98,-1503.74,-3.6736
GV-00030,1465.08,16.16,-1504.58,-3.8778
GV-00031,1538.78,40.5,-1498.13,-4.1076
GV-00032,1586.71,15.75,-1493.05,-4.1172
GV-00033,1637.43,23.33,-1496.57,-4.1032
GV-00034,1673.19,20.54,-1493.43,-4.3221
GV-00035,1742.61,18.51,-1493.66,-4.1946
GV-00036,1787.5,16.0,-1505.77,-4.4525
GV-00037,1824.64,40.61,-1503.96,-4.509
GV-00038,1874.7,27.28,-1502.56,-4.6206
GV-00039,1907.84,10.99,-1495.61,-4.316
GV-00040,1983.29,39.67,-1493.78,-4.7101
GV-00041,2018.93,35.82,-1482.65,-4.7872
GV-00042,2077.72,7.49,-1474.87,-5.1231
GV-00043,2105.05,22.72,-1464.98,-5.035
GV-00044,2185.32,5.66,-1462.35,-5.0071
GV-00045,2237.37,17.76,-1441.57,-5.3195
GV-00046,2290.1,6.77,-1409.43,-5.1891
GV-00047,2313.07,14.11,-1375.43,-5.3593
GV-00048,2391.7,18.12,-1355.87,-5.3487
GV-00049,2412.57,44.64,-1344.22,-5.4547
GV-00050,2494.09,41.67,-1337.83,-5.5487
GV-00051,2534.17,8.39,-1334.8,-5.6117
GV-00052,2586.64,22.11,-1329.53,-5.5864
GV-00053,2643.12,32.24,-1319.85,-5.6986
GV-00054,2694.17,32.48,-1309.35,-5.6691
GV-00055,2744.66,44.11,-1289.33,-5.9402
GV-00056,2757.79,22.68,-1280.57,-5.9468
GV-00057,2808.19,35.85,-1266.34,-6.0064
GV-00058,2862.05,44.47,-1257.55,-5.9839
GV-00059,2939.07,18.31,-1247.98,-5.9972
GV-00060,2957.78,15.43,-1223.71,-6.2764
GV-00061,3028.8,26.16,-1217.89,-6.226
GV-00062,3064.93,20.71,-1213.15,-6.3953
GV-00063,3110.64,13.69,-1221.94,-6.3785
GV-00064,3157.85,17.69,-1226.97,-6.3233
GV-00065,3214.72,7.12,-1223.03,-6.3942
GV-00066,3267.65,17.31,-1223.62,-6.4632
GV-00067,3313.68,22.29,-1223.45,-6.369
GV-00068,3370.28,6.83,-1216.78,-6.6393
GV-00069,3405.74,16.47,-1206.74,-6.6882
GV-00070,3491.8,11.13,-1199.67,-6.7229
GV-00071,3515.45,24.37,-1194.0,-6.8342
GV-00072,3578.96,44.93,-1183.37,-6.7787
GV-00073,3628.34,30.19,-1178.36,-6.8937
GV-00074,3666.55,20.19,-1175.57,-6.8521
GV-00075,3709.26,8.28,-1177.24,-6.868
GV-00076,3776.16,25.92,-1167.34,-7.1052
GV-00077,3808.16,33.94,-1164.34,-7.0743
GV-00078,3867.57,29.12,-1154.55,-7.1805
GV-00079,3919.7,22.07,-1132.39,-7.1917
GV-00080,3956.74,14.89,-1108.8,-7.2377
GV-00081,4025.56,6.18,-1086.52,-7.3424
GV-00082,4079.69,14.32,-1076.51,-7.1268
GV-00083,4105.24,8.11,-1058.91,-7.2174
GV-00084,4176.13,22.96,-1048.93,-7.2656
GV-00085,4216.4,12.62,-1039.74,-7.107
GV-00086,4290.01,20.71,-1039.85,-7.306
GV-00087,4343.01,20.75,-1031.7,-7.3273
GV-00088,4376.69,17.06,-1035.82,-7.3383
GV-00089,4420.94,7.78,-1042.02,-7.4061
GV-00090,4464.0,23.62,-1052.83,-7.3312
GV-00091,4540.61,26.73,-1058.88,-7.3705
GV-00092,4564.91,18.27,-1077.53,-7.3698
GV-00093,4618.15,23.69,-1105.06,-7.4818
GV-00094,4655.26,9.36,-1130.72,-7.4717
GV-00095,4736.2,34.64,-1156.9,-7.5608
GV-00096,4771.61,41.37,-1178.62,-7.353
GV-00097,4826.47,12.39,-1192.9,-7.4873
GV-00098,4891.72,29.22,-1222.66,-7.4487
GV-00099,4940.67,21.75,-1231.13,-7.6159
GV-00100,4976.93,14.5,-1255.43,-7.4453
GV-00101,5044.34,28.52,-1273.85,-7.3587
GV-00102,5079.89,14.93,-1309.35,-7.3995
GV-00103,5111.63,29.6,-1311.08,-7.4886
GV-00104,5176.0,41.94,-1306.54,-7.4034
GV-00105,5235.74,29.51,-1301.4,-7.5484
GV-00106,5274.3,41.72,-1292.97,-7.3454
GV-00107,5322.49,11.68,-1288.46,-7.5197
GV-00108,5363.59,16.7,-1282.98,-7.4486
GV-00109,5411.18,38.61,-1267.87,-7.4503
GV-00110,5492.42,28.98,-1268.09,-7.381
GV-00111,5542.96,26.3,-1269.84,-7.3337
GV-00112,5569.26,6.47,-1293.24,-7.2587
GV-00113,5623.79,12.26,-1303.39,-7.319
GV-00114,5672.74,6.68,-1312.53,-7.2347
GV-00115,5719.02,33.9,-1317.37,-7.3716
GV-00116,5781.42,34.01,-1324.85,-7.2872
GV-00117,5823.78,13.87,-1325.68,-7.189
GV-00118,5886.6,21.67,-1327.85,-7.2485
GV-00119,5912.18,28.71,-1333.67,-7.2315
GV-00120,5964.72,16.88,-1332.72,-7.0916
GV-00121,6017.74,33.03,-1344.06,-7.0196
GV-00122,6065.2,24.74,-1354.58,-7.0969
